outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
case,SEP 2021,202138,18-49,all_types,119,307241,52609,52473497,170089,34939594,38.731809882,100.258231312,486.808747692,12.568706424,4.855548929,,,,,,0
case,SEP 2021,202138,50-64,all_types,147,376834,28091,30068369,46391,9714056,39.009218913,93.423757039,477.565704789,12.242380599,5.111822944,,,,,,0
case,SEP 2021,202138,65+,all_types,280,878779,27243,29106029,24190,4820712.8,31.862390886,93.599164627,501.793012851,15.748755787,5.361084309,,,,,,1
case,SEP 2021,202138,all_ages,all_types,546,1562854,107943,111647895,240670,49474362.8,34.936084881,96.681625749,486.453966012,13.924112209,5.031503786,37.618215603,97.743583411,487.492641919,12.958951777,4.987464393,0
case,SEP 2021,202138,all_ages,Janssen,7,28692,11003,9567298,240670,49474362.8,24.397044472,115.006347665,486.453966012,19.939053133,4.229801014,31.020156501,114.456488571,487.492641919,15.71535082,4.259196206,0
case,SEP 2021,202138,all_ages,Moderna,202,685545,35197,44214235,240670,49474362.8,29.465607655,79.605584039,486.453966012,16.509212086,6.110802048,36.951175273,81.632505053,487.492641919,13.192885972,5.971795691,0
case,SEP 2021,202138,all_ages,Pfizer,334,843948,61644,57790888,240670,49474362.8,39.575898041,106.667334823,486.453966012,12.291672207,4.560477365,40.079401498,106.631212605,487.492641919,12.163171697,4.571763089,0
case,SEP 2021,202139,18-49,all_types,153,373796,49759,53423700,142930,34270943,40.931417137,93.140310387,417.058847783,10.18921105,4.477748099,,,,,,0
case,SEP 2021,202139,50-64,all_types,159,455661,26669,30300581,40212,9522246,34.894362256,88.014813973,422.295328224,12.102107645,4.798002849,,,,,,0
case,SEP 2021,202139,65+,all_types,312,1069305,25679,29037813,21558,4630749.800000001,29.17783046,88.432968419,465.540159393,15.955269876,5.264328086,,,,,,1
case,SEP 2021,202139,all_ages,all_types,624,1898762,102107,112762094,204700,48423938.8,32.86351844,90.550819321,422.724803212,12.863041551,4.668370826,37.710445042,91.30325679,426.371625393,11.306459654,4.669840271,0
case,SEP 2021,202139,all_ages,Janssen,12,33189,10218,9649337,204700,48423938.8,36.156557896,105.893285725,422.724803212,11.691511245,3.99198873,34.923024106,105.511643942,426.371625393,12.208897606,4.040991207,0
case,SEP 2021,202139,all_ages,Moderna,221,818346,33370,44592911,204700,48423938.8,27.005691969,74.832522147,422.724803212,15.65317429,5.648945019,35.502284384,76.537471857,426.371625393,12.009695511,5.570756586,0
case,SEP 2021,202139,all_ages,Pfizer,389,1041557,58439,58444572,204700,48423938.8,37.34793199,99.990466181,422.724803212,11.318559842,4.227651089,39.46640651,99.655030619,426.371625393,10.803406317,4.278475685,0
case,OCT 2021,202140,18-49,all_types,198,442130,47005,54290995,125308,33684533,44.783208559,86.579735737,372.004563638,8.306786754,4.296670121,,,,,,0
case,OCT 2021,202140,50-64,all_types,180,535682,25087,30502674,35913,9350144,33.602025082,82.2452484,384.090341282,11.430571233,4.670061174,,,,,,0
case,OCT 2021,202140,65+,all_types,368,1337729,24113,28882681,19468,4466268.800000001,27.509308687,83.486017105,435.88957297,15.845166374,5.221108733,,,,,,1
